Satcomm upload 03:06:03:06
04/01/2001 Temperature: 25.1 
Error Temp out of range
ALERT checksum error, resending: JZ:ZK:QI:2B:OD:OE
logger test codes    334977739     70920845
Error Temp out of range
Satcomm upload 04:00:07:07
Satcomm upload 07:01:06:05
12/01/2001 pH: 10.5 
logger test codes     89781936    846791232
ALERT checksum error, resending: 3Y:RA:7Y:0E:8G:DD
13/01/2001 Temperature: 19.5 
Error pH out of range
17/01/2001 Temperature: 18.4 
Satcomm upload 02:03:06:02
Coding checksum 9K:81:ZH:NN:LI:6N
18/01/2001 pH:  0.2 
26/01/2001 Temperature: 24.6 
Satcomm upload 02:00:06:06
29/01/2001 pH: 10.2 
logger test codes    777863784    585364701
Error Temp out of range
06/02/2001 pH:  9.1 
ALERT checksum error, resending: F3:C0:IP:B3:IA:PO
logger test codes    320127973    845780209
ALERT checksum error, resending: KQ:9X:HC:LG:1F:NF
logger test codes    598197264    368219687
Coding checksum MA:77:QC:YB:3I:RA
Satcomm upload 04:00:06:02
ALERT checksum error, resending: I7:3V:FL:CX:CT:CI
Error Temp out of range
09/02/2001 pH:  2.5 
logger test codes    326279214    640755033
Coding checksum 6J:48:0L:O6:0I:OX
16/02/2001 pH:  5.8 
24/02/2001 pH:  8.7 
30/02/2001 Temperature: 16.4 
Error Temp out of range
Satcomm upload 05:00:04:00
Error pH out of range
Satcomm upload 07:00:01:04
Error pH out of range
Error Temp out of range
Satcomm upload 01:00:07:05
Coding checksum ID:T6:GT:J0:D1:RB
Satcomm upload 07:04:02:05
Error pH out of range
logger test codes    690168182     24397574
Error Temp out of range
Error pH out of range
Coding checksum 5M:TN:21:JJ:35:HX
Satcomm upload 00:00:06:03
Satcomm upload 06:04:04:05
ALERT checksum error, resending: 1F:AW:9D:GF:ZK:HC
Error pH out of range
ALERT checksum error, resending: XQ:4X:SE:GR:IM:09
Satcomm upload 05:03:06:03
30/02/2001 pH:  7.0 
Error Temp out of range
05/03/2001 Temperature: 15.9 
Satcomm upload 00:07:03:03
Error pH out of range
Error pH out of range
logger test codes    706052276    189378848
10/03/2001 Temperature: 28.6 
Satcomm upload 07:06:04:00
Satcomm upload 05:06:05:05
Coding checksum FY:52:R0:ND:58:ER
Error Temp out of range
Error Temp out of range
Satcomm upload 03:00:05:00
Error Temp out of range
11/03/2001 pH:  1.8 
Coding checksum 00:H3:2G:4E:VU:MM
Satcomm upload 07:02:00:00
Coding checksum 1E:X5:CB:37:HB:9U
Error Temp out of range
17/03/2001 Temperature: 18.7 
Coding checksum GQ:GF:5V:RK:5X:T2
Coding checksum 6N:EH:1R:TN:F1:15
ALERT checksum error, resending: L6:I6:EJ:IV:YM:76
Error Temp out of range
23/03/2001 Temperature: 24.5 
Satcomm upload 05:00:07:04
Satcomm upload 01:02:05:02
Satcomm upload 07:05:05:07
Coding checksum H5:VA:69:V3:GD:5I
Coding checksum 7Y:2G:VT:7G:RZ:9I
Error pH out of range
logger test codes    309362171     91633261
ALERT checksum error, resending: WS:DQ:6P:37:5T:ES
logger test codes     81560957    624904399
Satcomm upload 02:00:00:00
02/04/2001 pH:  6.0 
Satcomm upload 02:06:07:04
Error pH out of range
Satcomm upload 00:05:01:00
06/04/2001 Temperature: 24.0 
Satcomm upload 02:00:00:01
Coding checksum 8K:7V:EC:6G:I2:F6
11/04/2001 pH: 12.5 
18/04/2001 pH:  9.7 
Error pH out of range
Error pH out of range
26/04/2001 pH:  4.6 
Error Temp out of range
Error Temp out of range
01/05/2001 pH:  7.8 
Satcomm upload 00:04:06:00
Error pH out of range
Error pH out of range
Satcomm upload 01:05:05:06
01/05/2001 Temperature: 22.9 
01/05/2001 pH:  4.4 
Satcomm upload 03:02:05:02
Satcomm upload 05:00:02:05
Coding checksum 8U:MT:JH:SI:1P:FT
Satcomm upload 06:05:05:07
Coding checksum 4J:TS:WP:NV:TU:F2
logger test codes    702327318    584296908
ALERT checksum error, resending: L1:X4:6V:U1:26:8F
05/05/2001 Temperature: 16.7 
Satcomm upload 07:02:03:05
Satcomm upload 01:02:00:06
Satcomm upload 07:00:06:00
logger test codes    186584520     13439002
07/05/2001 pH:  8.6 
ALERT checksum error, resending: EZ:KP:ZZ:Y1:U1:Q3
Satcomm upload 04:06:01:06
logger test codes    267414203    484129984
Coding checksum MG:F3:XP:7X:GG:F7
Satcomm upload 01:01:01:06
10/05/2001 Temperature: 26.1 
logger test codes     25815575    409378088
14/05/2001 Temperature: 17.1 
20/05/2001 Temperature: 17.1 
Satcomm upload 03:06:07:02
logger test codes    119560679    678475238
logger test codes    475008257     50617846
Satcomm upload 05:00:02:07
logger test codes    501582048    419646768
Coding checksum TY:QZ:T0:BZ:G0:BM
26/05/2001 pH: 13.9 
Satcomm upload 04:00:01:03
logger test codes    794679004    127308497
Satcomm upload 02:01:01:01
Satcomm upload 02:04:01:02
04/06/2001 pH:  8.2 
logger test codes    322775970    389438805
10/06/2001 pH:  2.6 
Coding checksum ZG:1W:RA:91:4Q:AS
Satcomm upload 07:00:05:06
Error Temp out of range
18/06/2001 Temperature: 17.8 
Satcomm upload 02:04:05:07
Satcomm upload 05:06:02:07
Satcomm upload 04:00:05:06
Satcomm upload 03:02:02:07
logger test codes    240375859     51978806
Satcomm upload 02:06:01:00
Error pH out of range
ALERT checksum error, resending: 5W:VI:A5:MQ:H9:Z7
Error Temp out of range
Satcomm upload 01:01:00:01
ALERT checksum error, resending: ES:DW:VM:ST:Y9:JA
Error Temp out of range
logger test codes      8755736    916411920
Satcomm upload 02:05:07:03
Error Temp out of range
Coding checksum FW:I6:RT:GI:GJ:BK
Coding checksum TG:IF:2Y:JE:T9:8Y
Error pH out of range
Error pH out of range
25/06/2001 Temperature: 28.6 
04/07/2001 Temperature: 21.0 
Error pH out of range
Satcomm upload 00:05:05:07
Error Temp out of range
ALERT checksum error, resending: RL:B8:4I:AE:AO:OH
Error Temp out of range
ALERT checksum error, resending: 9P:ED:Q1:NJ:07:QC
logger test codes    623668612    706273756
Error pH out of range
Coding checksum J7:2W:AY:5V:K4:97
Error pH out of range
Coding checksum 30:C2:OQ:WG:WV:DE
logger test codes    931008090    244087296
Error pH out of range
Satcomm upload 00:02:01:01
12/07/2001 Temperature: 17.9 
Coding checksum DE:NL:HI:RQ:3S:55
Coding checksum DB:SK:CL:2A:FS:L8
Satcomm upload 01:05:02:02
Satcomm upload 03:05:03:02
Error pH out of range
Error pH out of range
Coding checksum S9:4O:1V:XI:9P:O5
logger test codes    613118212    609291649
13/07/2001 pH:  8.7 
Satcomm upload 03:03:02:03
Error pH out of range
Error Temp out of range
Satcomm upload 00:02:05:01
Satcomm upload 04:01:07:01
ALERT checksum error, resending: NF:FV:Y2:GP:HW:39
18/07/2001 Temperature: 19.4 
Satcomm upload 01:02:04:04
logger test codes    552236278    466356092
19/07/2001 Temperature: 29.4 
Coding checksum FW:IG:PH:W7:6M:MD
Error pH out of range
22/07/2001 pH: 12.0 
Satcomm upload 06:01:05:06
Coding checksum I8:D1:6K:2Y:UW:BI
29/07/2001 pH:  5.2 
07/08/2001 Temperature: 24.4 
Satcomm upload 00:03:03:07
logger test codes    917566672     71111586
Satcomm upload 03:04:01:03
Coding checksum 8L:0P:7E:KU:2P:HE
Error pH out of range
15/08/2001 pH: 13.3 
Coding checksum L5:9X:LW:8N:PA:2U
23/08/2001 pH:  4.4 
logger test codes    304527593    659399747
Satcomm upload 01:04:03:01
Error pH out of range
01/09/2001 pH: 13.2 
logger test codes    667184072    601193313
Coding checksum DR:3O:MY:N3:XH:PX
logger test codes    115394069    350879891
Satcomm upload 06:04:07:01
Satcomm upload 07:00:06:04
Satcomm upload 06:02:07:03
logger test codes    714489327    655906975
10/09/2001 Temperature: 15.8 
logger test codes    669965061    912856800
ALERT checksum error, resending: X6:HW:83:54:NO:TH
Coding checksum OE:W7:XC:TL:OX:AP
ALERT checksum error, resending: UJ:D9:6N:XE:9G:XG
10/09/2001 Temperature: 27.9 
16/09/2001 Temperature: 15.0 
Error Temp out of range
Error pH out of range
ALERT checksum error, resending: 73:61:O1:OZ:P1:L6
22/09/2001 pH: 13.2 
ALERT checksum error, resending: FJ:X7:XJ:3V:XH:KK
Error pH out of range
ALERT checksum error, resending: OB:7H:92:N5:IJ:11
Error Temp out of range
Error Temp out of range
Satcomm upload 03:07:01:01
Satcomm upload 00:00:01:00
Coding checksum LD:F0:1A:AF:BO:6J
Satcomm upload 01:07:06:03
23/09/2001 Temperature: 19.2 
23/09/2001 Temperature: 28.8 
Error pH out of range
Error pH out of range
Satcomm upload 06:02:07:02
Satcomm upload 02:03:05:06
26/09/2001 pH: 10.4 
logger test codes    123428338    705462998
logger test codes    737787848    456245304
Error pH out of range
Satcomm upload 07:01:02:02
05/10/2001 pH: 13.3 
logger test codes    266250947    194408304
07/10/2001 pH:  6.5 
08/10/2001 pH:  6.5 
ALERT checksum error, resending: TY:2S:9J:10:8N:M8
logger test codes    758108218    413526622
Satcomm upload 01:05:07:01
09/10/2001 Temperature: 16.1 
logger test codes    521348309     67712289
Satcomm upload 06:02:03:06
